t	gamma_c	gamma_hbar	gamma_T	gamma_L	gamma_E
33	6.611e-12	1.014e-102	1.523e-40	1.007e-51	6.657e-63
34	6.626e-12	1.014e-102	1.520e-40	1.007e-51	6.672e-63
35	6.234e-12	8.437e-103	1.473e-40	9.185e-52	5.726e-63
36	1.074e-11	4.322e-102	1.937e-40	2.079e-51	2.232e-62
37	1.257e-11	6.938e-102	2.096e-40	2.634e-51	3.310e-62
38	1.270e-11	7.174e-102	2.109e-40	2.678e-51	3.401e-62
39	1.206e-11	6.131e-102	2.053e-40	2.476e-51	2.986e-62
40	1.353e-11	8.644e-102	2.173e-40	2.940e-51	3.978e-62
41	1.353e-11	8.644e-102	2.172e-40	2.940e-51	3.979e-62
42	1.353e-11	8.644e-102	2.172e-40	2.940e-51	3.979e-62
